天	天空|白天|今天	今天的天空很蓝。
地	土地|草地|地上	小草从土地里钻出来。
人	大人|人们|好人	人们在公园里散步。
你	你好|你们|你的	你好，我们一起玩吧。
我	我们|我的|自我	我会自己穿衣服。
他	他们|他的|他人	他在认真画画。
一	一个|一天|一起	我有一个红苹果。
二	二月|十二|第二	二月的天气还很冷。
三	三个|三天|三只	树上有三只小鸟。
四	四个|四季|四方	一年有四个季节。
五	五个|五月|五只	一只手有五根手指。
上	上面|上学|早上	早上我背着书包去上学。
下	下面|下雨|下午	下午突然下雨了。
口	门口|开口|口水	小狗在门口等我。
耳	耳朵|木耳|耳边	我用耳朵认真听。
目	目光|目的|节目	这个节目真有趣。
手	小手|手心|洗手	饭前要认真洗手。
足	足球|满足|足够	哥哥喜欢踢足球。
站	站立|车站|站队	我们在车站等车。
坐	坐下|坐车|请坐	我坐车去外婆家。
日	日出|日光|生日	今天是我的生日。
月	月亮|月光|五月	月亮挂在夜空中。
水	河水|水杯|雨水	小鱼在河水里游。
火	火苗|火车|大火	火车开过长长的桥。
山	山顶|山水|高山	我们一起爬上高山。
石	石头|石子|宝石	路边有一块圆石头。
田	田地|水田|田野	农民伯伯在田地里劳动。
禾	禾苗|禾穗|禾场	田里的禾苗绿油油。
对	对面|对错|一对	我家对面有一棵大树。
云	白云|云朵|乌云	白云像棉花一样软。
雨	下雨|雨水|大雨	下雨了，我们快回家。
风	大风|春风|风车	春风轻轻吹过脸庞。
花	花朵|红花|开花	花园里的花朵开了。
鸟	小鸟|飞鸟|鸟儿	小鸟在树枝上唱歌。
虫	虫子|小虫|昆虫	小虫躲在叶子下面。
六	六个|六月|六只	六月的荷花开了。
七	七个|七月|七彩	彩虹有七种颜色。
八	八个|八月|八方	八月的天气很热。
九	九个|九月|九只	九月我们回到学校。
爸	爸爸|爸妈|老爸	爸爸陪我一起跑步。
妈	妈妈|爸妈|姑妈	妈妈给我讲故事。
马	小马|木马|马车	小马在草地上奔跑。
土	土地|泥土|土豆	土豆长在泥土里。
不	不要|不用|不错	过马路时不要奔跑。
画	画画|图画|画笔	我用画笔画了一朵花。
打	打开|打球|打鼓	请帮我打开窗户。
棋	下棋|棋子|围棋	爷爷教我下围棋。
鸡	小鸡|公鸡|母鸡	小鸡跟着妈妈找虫子。
字	汉字|写字|生字	我今天学会了一个汉字。
词	词语|组词|好词	老师教我们用生字组词。
语	语文|语言|词语	我喜欢上语文课。
句	句子|造句|问句	我用新词说了一个句子。
子	孩子|儿子|帽子	孩子们在操场上游戏。
桌	桌子|书桌|课桌	书桌上放着一本书。
纸	白纸|纸张|报纸	我在白纸上画太阳。
妹	妹妹|姐妹|小妹	妹妹送给我一朵花。
奶	牛奶|奶奶|奶油	我每天早上喝牛奶。
小	大小|小心|小鸟	小鸟在枝头唱歌。
桥	大桥|木桥|桥面	我们走过一座木桥。
台	讲台|阳台|台灯	台灯照亮了我的书桌。
雪	下雪|雪花|白雪	雪花从天空慢慢落下。
儿	儿歌|儿童|女儿	我们一起唱一首儿歌。
白	白云|白色|雪白	天上飘着白云。
草	小草|草地|青草	小草在春风里摇摆。
家	大家|回家|家人	一家人开心地吃晚饭。
是	不是|可是|就是	这是一只可爱的小猫。
车	汽车|火车|车站	汽车停在红灯前。
路	马路|道路|走路	过马路要看红绿灯。
灯	台灯|灯光|红灯	夜里灯光照亮房间。
走	走路|走开|行走	我每天走路去幼儿园。
文	中文|课文|文字	我会读这篇短课文。
数	数字|数学|数数	我从一数到十。
学	学习|学校|学生	学生们在教室里学习。
音	声音|音乐|拼音	我听见美妙的音乐。
乐	快乐|乐园|欢乐	我们在乐园里快乐地玩。
秋	秋天|秋风|秋叶	秋天的树叶变黄了。
气	空气|天气|生气	今天的天气真好。
了	好了|来了|走了	雨停了，我们出去玩吧。
树	大树|树叶|树林	一棵大树为我们遮阳。
叶	叶子|树叶|落叶	一片叶子飘到地上。
片	一片|卡片|叶片	天空中飘着一片白云。
大	大家|大人|大小	大家一起收拾玩具。
